placement,group,comp,grp_count,grp_placement,mode
6,-1,"Armorclad, Bruiser, Darius, EdgeRunner, Garen, Jhin, MissFortune, Mob, Mordekaiser, Netgod, Sejuani, Swift, Thirsty, TwistedFate, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Aurora, Bruiser, Divinicorp, EdgeRunner, Jhin, Kobuko, Marksman, MissFortune, Mob, Mordekaiser, Sejuani, Thirsty, TwistedFate",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Brand, Controller, Cutter, Divinicorp, Ekko, Jinx, Neeko, Rengar, Samira, StreetDemon, Techie, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
2,-1,"Armorclad, Bruiser, Controller, Cyberboss, Divinicorp, Draven, EdgeRunner, Jhin, Kobuko, Mordekaiser, Overlord, Renekton, Sejuani, Swift, Thirsty, Virus, Zac, Zeri, Ziggs",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Braum, Chogath, Garen, Jarvan, Leona, Netgod, Skarner, Swift, Urgot, Vanguard, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
7,-1,"Armorclad, Divinicorp, EdgeRunner, Galio, Overlord, Renekton, Sejuani, Shyvana, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
7,-1,"Armorclad, Bruiser, Divinicorp, EdgeRunner, Elise, Gragas, Jhin, MissFortune, Sejuani, Thirsty, Urgot",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
7,-1,"Armorclad, Aurora, Bruiser, Divinicorp, Elise, Gragas, Kobuko, MissFortune, Mordekaiser, Sejuani, Shyvana, Techie, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
7,-1,"Aurora, BallisTek, Bruiser, Chogath, Cutter, Divinicorp, Gragas, Kobuko, Mordekaiser, Urgot, Vex, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
7,-1,"Braum, Darius, Divinicorp, Jarvan, Mob, Rhaast, Skarner, Strong, TwistedFate, Vanguard",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
